username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
Shabinder,92.63977022098305,Strong,Shabinder,1038,34,97,7,2658.626391,1.401935164,1,1,1,0,0,30,60,2.0,4,0.133333333,60,2.0,7,0.233333333,54886.1,6674.5,0.833333333,0.066666667,0.0,0.0,0.166666667,5,0.615384615,230.118787,22.271206,30,11,1,1,1,1,1,0,13,4.064516182,6.946013991,4.110873864,1.609437912,4.110873864,29.65714286,2,Strong,92.63977022098305
Soulter,92.60183064738555,Strong,Soulter,584,192,86,3,2880.399194,9.559344939,1,1,1,1,0,30,189,6.3,56,1.866666667,189,6.3,56,1.866666667,3439.366667,62.0,0.4,0.033333333,0.0,0.0,0.6,6,0.769230769,0.378534754,0.378500031,30,21,1,0,4,2,1,0,0,0.105236142,6.371611847,5.247024072,4.043051268,5.247024072,3.025906736,2,Strong,92.60183064738555
Ifihan,92.47073819040075,Strong,Ifihan,391,37,123,384,2512.951971,32.34928546,1,1,1,0,0,30,148,4.933333333,46,1.533333333,148,4.933333333,14,0.466666667,1394.333333,119.5,0.166666667,0.0,0.0,0.033333333,0.766666667,6,0.652173913,6.102584068,5.042479902,30,7,5,2,2,2,4,0,2,0.324783142,5.97126184,5.003946306,3.850147602,5.003946306,10.28947368,2,Strong,92.47073819040075
necolas,92.42577311857727,Strong,necolas,11312,29,80,42,5791.220098,2.858720508,1,1,1,0,0,30,3345,111.5,737,24.56666667,3345,111.5,27,0.9,1288.233333,110.5,0.466666667,0.0,0.0,0.1,0.5,5,0.739130435,28.92228532,0.295977453,30,5,9,2,1,3,4,0,2,1.880676527,9.333707786,8.115520882,6.603943825,8.115520882,377.0666667,2,Strong,92.42577311857727
HarshCasper,92.40657112900507,Strong,HarshCasper,1912,41,369,87,2566.488577,32.35094999,1,1,1,1,0,30,79,2.633333333,40,1.333333333,79,2.633333333,50,1.666666667,19054.16667,5912.5,0.766666667,0.0,0.0,0.033333333,0.233333333,4,0.307692308,162.7351167,34.18632036,30,5,15,0,0,0,8,0,1,0.684179153,7.556427969,4.382026635,3.713572067,4.382026635,45.52380952,2,Strong,92.40657112900507
Pandapip1,92.37420708982263,Strong,Pandapip1,649,51,212,17,2620.887172,34.99133846,1,1,1,0,0,30,22,0.733333333,3,0.1,22,0.733333333,1,0.033333333,69300.63333,539.0,0.766666667,0.0,0.0,0.066666667,0.233333333,3,0.5,9.945250498,35.91939402,30,13,2,5,4,3,1,0,1,0.524741239,6.476972363,3.135494216,1.386294361,3.135494216,12.48076923,2,Strong,92.37420708982263
sreeram-venkitesh,92.27853565698149,Strong,sreeram-venkitesh,272,235,156,6,2804.647019,133.5763361,1,1,1,1,0,30,15,0.5,14,0.466666667,15,0.5,7,0.233333333,21620.9,745.0,0.6,0.0,0.0,0.1,0.4,9,0.222222222,3.270479572,15.54705365,30,11,4,5,1,1,0,0,0,3.270479572,5.609471795,2.772588722,2.708050201,2.772588722,1.152542373,2,Strong,92.27853565698149
jtracey93,92.25529773967924,Strong,jtracey93,283,13,83,15,2774.243837,1.306233221,1,1,1,0,0,30,43,1.433333333,139,4.633333333,43,1.433333333,5,0.166666667,946513.4667,1105.0,0.833333333,0.0,0.0,0.033333333,0.133333333,6,0.4,31.89758739,31.89752952,30,10,4,2,1,1,2,0,1,1.32055035,5.648974238,3.784189634,4.941642423,3.784189634,20.21428571,2,Strong,92.25529773967924
devenock,92.16327798672461,Strong,devenock,359,610,41,6,2549.354346,5.636035657,1,1,1,1,0,30,11,0.366666667,5,0.166666667,11,0.366666667,0,0.0,5060.366667,449.0,0.6,0.0,0.066666667,0.033333333,0.4,3,0.375,0.84405649,0.844021768,30,10,9,0,0,1,5,0,3,5.526371305,5.886104031,2.48490665,1.791759469,2.48490665,0.587561375,2,Strong,92.16327798672461
sammwyy,92.07083868274024,Strong,sammwyy,2353,49,223,1,2653.288126,43.7394227,1,1,1,1,0,30,601,20.03333333,40,1.333333333,601,20.03333333,8,0.266666667,1298.5,53.5,0.1,0.0,0.0,0.166666667,0.9,7,0.28,70.11049909,0.34826529,14,4,2,1,1,2,1,0,1,7.040661123,7.763871288,6.400257445,3.713572067,6.400257445,47.06,2,Strong,92.07083868274024
